,Title,Date,Time,Score,Number of Comments
144,Trump tells Fox how he ordered strikes on Syria over dessert with Xi,2017-04-12,19:01:37,4041,825
145,GOP congressman says Spicer needs to go after Hitler comments,2017-04-13,13:14:25,133,20
146,Is Stephen Bannon getting pushed out? The latest signs point to Yes.,2017-04-12,18:17:28,4721,495
147,Top U.S. Election Official: There Is No Voting Fraud Epidemic,2017-04-13,15:36:10,89,19
148,Former Trump campaign chairman to register as foreign agent,2017-04-13,03:55:29,720,20
149,Rex Tillerson ditches U.S. press pool for surprise visit with Putin,2017-04-12,21:17:21,2466,196
150,Rex Tillerson says Russian meddling in US election is well-established,2017-04-13,09:13:06,263,53
151,Trump downplays 5-year Bannon relationship,2017-04-13,06:20:09,450,22
152,Mexican ambassador: Our approach to Trump is strategic patience,2017-04-13,08:29:52,289,32
153,The Latest: Manafort registering with US as foreign agent,2017-04-12,23:12:19,1549,73
154,Malala Becomes Canadian Citizen,2017-04-13,14:52:04,84,7
155,"Trumps claim that Susan Rice broke the law has not been confirmed by intelligence reports, say GOP and Dems",2017-04-12,20:50:42,2327,94
156,Carter Page Refuses To Disclose Who Brought Him Onto Trump Campaign,2017-04-13,09:43:45,212,8
157,"Robert Reich: Trump is fleecing America, and the Department of Justice is letting it happen",2017-04-13,16:06:55,65,6
158,United Airlines Spent Millions Fighting Proposals To Protect Passenger Rights,2017-04-13,04:24:57,553,13
159,"Report: After leaving campaign, Manafort borrowed millions from Trump-tied businesses",2017-04-13,04:24:36,534,10
160,"Who is Mr.Cohen? Trumps attorney received $350,000 for the Izmaylovskaya Criminal Group  Felshtinsky",2017-04-13,02:52:34,714,52
161,Trumps CEO business friends are trying to steer him away from Bannons hard-line ideological policies,2017-04-13,15:14:31,71,13
162,GOP rep: Spicers Hitler remark not without some validity,2017-04-13,00:39:58,1039,157
163,Trump lists Carter Page among his foreign policy team in 2016,2017-04-12,17:14:42,4520,121
164,Judge Gorsuch favors corporate goliaths over small businesses,2017-04-13,05:34:13,396,57
165,GOP rep on Spicer: He needs to go,2017-04-13,06:51:11,307,18
166,Whose Side Is Betsy DeVos On?,2017-04-13,15:27:41,59,15
167,Donald Trump Is Our Most Helpless President,2017-04-13,14:44:32,70,4
168,Why Surveillance of Carter Page Is Such a Bombshell,2017-04-13,01:40:57,771,34
169,Wildlife conservationists sue over proposed border wall,2017-04-13,15:05:30,69,2
170,"1,500 economists to Trump: Immigrants are good for the U.S. economy",2017-04-13,03:43:02,502,28
171,"Donald Trump, who doesnt read books, is ignorant of history  and so is his pet chump Sean Spicer",2017-04-12,14:14:59,8910,791
172,Anderson Cooper Stunned By Trumps Latest Comments On North Korea,2017-04-13,13:08:38,88,18
173,Trump wont let reality stop him from lying about Susan Rice,2017-04-12,18:49:17,2523,162
174,GOP Rep. Mike Coffman says Sean Spicer needs to go,2017-04-13,11:53:34,107,11
175,Congressmen Gaetz and Soto Propose Legislation to Reschedule Marijuana,2017-04-12,18:37:10,2510,172
176,Silicon Valley is beginning to fight the Trump administrations net neutrality plan,2017-04-12,15:55:31,4324,225
177,"Trump sparks first protest in space: Space networks screw-you message flies 90,000 feet high",2017-04-13,15:29:34,51,8
178,California prosecutors have turned the tables on Planned Parenthoods undercover video tormentors,2017-04-12,22:32:16,1146,131
179,Why are California legislators getting decent approval ratings? Theyre getting things done,2017-04-12,19:27:49,2040,355
180,Trump may halt insurer payments to force Democrats to table on healthcare,2017-04-13,03:06:33,495,81
181,Get Set For Trump Revisions To Your Affordable Care Act Insurance,2017-04-13,14:05:15,66,5
182,"Dan Rather Thinks We Need Patriotism, Not Nationalism",2017-04-13,01:47:40,618,45
183,"Trump backtracks on China, wont label it a currency manipulator",2017-04-12,23:32:52,896,107
184,Maxine Waters Isnt Afraid To Talk Impeachment,2017-04-13,16:19:11,40,8
185,Trump says we are keeping our promises after several major policy reversals,2017-04-13,04:31:33,373,22
186,Cross dressers in the building: A Capitol staffer warns when LGBT students visit,2017-04-13,07:30:30,213,13
187,"Even Before Trump, The Republican Party Was Reluctant To Push Out Nazi-Linked Officials.",2017-04-13,07:59:18,193,12
188,Is Bannon doomed? It hardly matters  Jeff Sessions is much better at white nationalism anyway,2017-04-13,16:05:35,48,7
189,Alarming new evidence of Team Trumps ties with Russia,2017-04-13,10:30:56,121,11
